Time,Province,New,Domestic,Overseas inflow,Accumulate
2020-07-26,Busan,1,1.0,0.0,167
2020-07-27,Busan,1,1.0,0.0,168
2020-07-28,Busan,2,1.0,1.0,170
2020-07-29,Busan,1,1.0,0.0,171
2020-07-30,Busan,0,0.0,0.0,171
2020-07-31,Busan,0,0.0,0.0,171
2020-08-01,Busan,1,0.0,1.0,172
2020-08-02,Busan,1,1.0,0.0,173
2020-08-03,Busan,0,0.0,0.0,173
2020-08-04,Busan,1,1.0,0.0,174
2020-08-05,Busan,0,0.0,0.0,174
2020-08-06,Busan,3,3.0,0.0,177
2020-08-07,Busan,0,0.0,0.0,177
2020-08-08,Busan,0,0.0,0.0,177
2020-08-09,Busan,0,0.0,0.0,177
2020-08-10,Busan,1,1.0,0.0,178
2020-08-11,Busan,9,9.0,0.0,187
2020-08-12,Busan,4,3.0,1.0,191
2020-08-13,Busan,2,2.0,0.0,193
2020-08-14,Busan,5,5.0,0.0,198
2020-08-15,Busan,3,3.0,0.0,201
2020-08-16,Busan,7,6.0,1.0,208
2020-08-17,Busan,7,7.0,0.0,215
2020-08-18,Busan,7,7.0,0.0,222
2020-08-19,Busan,9,9.0,0.0,231
2020-08-20,Busan,15,15.0,0.0,246
2020-08-21,Busan,8,8.0,0.0,254
2020-08-22,Busan,3,3.0,0.0,257
2020-08-23,Busan,2,2.0,0.0,259
2020-08-24,Busan,3,3.0,0.0,262
2020-08-25,Busan,3,3.0,0.0,265
2020-08-26,Busan,4,4.0,0.0,269
2020-08-27,Busan,8,8.0,0.0,277
2020-08-28,Busan,8,8.0,0.0,285
2020-08-29,Busan,6,5.0,1.0,291
2020-08-30,Busan,6,6.0,0.0,297
2020-08-31,Busan,4,4.0,0.0,301
2020-09-01,Busan,3,3.0,0.0,304
2020-09-02,Busan,7,7.0,0.0,311
2020-09-03,Busan,4,4.0,0.0,315
2020-09-04,Busan,4,3.0,1.0,319
2020-09-05,Busan,10,10.0,0.0,329
2020-09-06,Busan,2,2.0,0.0,331
2020-09-07,Busan,9,9.0,0.0,340
2020-09-08,Busan,1,1.0,0.0,341
2020-09-09,Busan,2,2.0,0.0,343
2020-09-10,Busan,1,1.0,0.0,344
2020-09-11,Busan,3,3.0,0.0,347
2020-09-12,Busan,4,4.0,0.0,351
2020-09-13,Busan,3,3.0,0.0,354
2020-09-14,Busan,3,3.0,0.0,357
2020-09-15,Busan,4,4.0,0.0,361
2020-09-16,Busan,4,4.0,0.0,365
2020-09-17,Busan,2,2.0,0.0,367
2020-09-18,Busan,2,1.0,1.0,369
2020-09-19,Busan,2,2.0,0.0,371
2020-09-20,Busan,6,6.0,0.0,377
2020-09-21,Busan,8,8.0,0.0,385
2020-09-22,Busan,5,5.0,0.0,390
2020-09-23,Busan,7,6.0,1.0,397
2020-09-24,Busan,7,7.0,0.0,404
2020-09-25,Busan,3,2.0,1.0,407
2020-09-26,Busan,2,2.0,0.0,409
2020-09-27,Busan,3,3.0,0.0,412
2020-09-28,Busan,1,1.0,0.0,413
2020-09-29,Busan,3,3.0,0.0,416
2020-09-30,Busan,5,5.0,0.0,421
2020-10-01,Busan,6,6.0,0.0,427
2020-10-02,Busan,18,16.0,2.0,445
2020-10-03,Busan,8,8.0,0.0,453
2020-10-04,Busan,5,5.0,0.0,458
2020-10-05,Busan,5,5.0,0.0,463
2020-10-06,Busan,3,3.0,0.0,466
2020-10-07,Busan,2,2.0,0.0,468
2020-10-08,Busan,5,5.0,0.0,473
2020-10-09,Busan,5,5.0,0.0,478
2020-10-10,Busan,3,3.0,0.0,481
2020-10-11,Busan,3,3.0,0.0,484
2020-10-12,Busan,4,3.0,1.0,488
2020-10-13,Busan,1,1.0,0.0,489
2020-10-14,Busan,2,2.0,0.0,491
2020-10-15,Busan,55,54.0,1.0,546
2020-10-16,Busan,0,0.0,0.0,546
2020-10-17,Busan,6,6.0,0.0,552
2020-10-18,Busan,4,2.0,2.0,556
2020-10-19,Busan,15,14.0,1.0,571
2020-10-20,Busan,2,1.0,1.0,573
2020-10-21,Busan,10,10.0,0.0,583
2020-10-22,Busan,5,5.0,0.0,588
2020-10-23,Busan,0,0.0,0.0,588
2020-10-24,Busan,0,0.0,0.0,588
2020-10-25,Busan,1,1.0,0.0,589
2020-10-26,Busan,0,0.0,0.0,589
2020-10-27,Busan,1,0.0,1.0,590
2020-10-28,Busan,0,0.0,0.0,590
2020-10-29,Busan,0,0.0,0.0,590
2020-10-30,Busan,0,0.0,0.0,590
2020-10-31,Busan,2,2.0,0.0,592
2020-11-01,Busan,0,0.0,0.0,592
2020-11-02,Busan,0,0.0,0.0,592
2020-11-03,Busan,1,0.0,1.0,593
